Date,Opp,Score,MIN,PTS,TRB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB
"11/28/17","UTA","L 77-106",26,7,6,6,1,1,2,1,3,7,"42.9%",1,3,"33.3%",0,0,"0%",0,6
"11/24/17","MEM","W 104-92",35,28,13,8,2,0,5,4,11,17,"64.7%",2,5,"40%",4,6,"66.7%",5,8
"11/22/17","HOU","L 95-125",25,17,6,3,2,1,2,2,7,14,"50%",1,2,"50%",2,3,"66.7%",2,4
"11/20/17","SAC","W 114-98",34,16,14,3,1,1,2,0,7,12,"58.3%",2,6,"33.3%",0,0,"0%",4,10
"11/19/17","LAL","L 109-127",11,6,6,1,1,0,2,2,1,5,"20%",0,0,"0%",4,4,"100%",4,2
"11/17/17","NO","W 146-114",26,13,11,6,0,1,2,3,3,5,"60%",1,2,"50%",6,6,"100%",3,8
"11/13/17","POR","L 82-99",34,6,7,3,3,1,3,2,2,9,"22.2%",1,4,"25%",1,2,"50%",0,7
"11/11/17","ORL","W 125-107",37,12,17,9,4,1,1,2,3,8,"37.5%",1,1,"100%",5,6,"83.3%",5,12
"11/9/17","OKC","W 102-94",27,15,11,3,1,0,3,4,7,16,"43.8%",1,5,"20%",0,0,"0%",3,8
"11/7/17","BKN","W 112-104",31,41,12,5,2,2,1,6,16,25,"64%",4,9,"44.4%",5,6,"83.3%",2,10
"11/4/17","GS","L 108-127",19,8,7,3,2,0,1,1,2,6,"33.3%",0,0,"0%",4,4,"100%",1,6
"11/3/17","MIA","W 95-94",33,19,14,2,4,1,1,4,8,15,"53.3%",2,6,"33.3%",1,1,"100%",5,9
"11/1/17","TOR","W 129-111",30,8,16,10,1,2,0,2,4,10,"40%",0,3,"0%",0,0,"0%",3,13
"10/30/17","NY","L 110-116",30,28,8,2,1,1,2,1,9,15,"60%",6,10,"60%",4,6,"66.7%",3,5
"10/29/17","BKN","W 124-111",29,21,14,4,1,1,1,3,9,16,"56.2%",1,3,"33.3%",2,2,"100%",1,13
"10/27/17","ATL","W 105-100",32,18,15,5,1,0,2,0,8,16,"50%",0,1,"0%",2,2,"100%",4,11
"10/25/17","CHA","L 93-110",30,18,11,0,0,0,2,3,8,11,"72.7%",1,1,"100%",1,1,"100%",5,6
"10/23/17","WAS","L 104-109",35,29,9,5,1,0,7,4,9,14,"64.3%",3,3,"100%",8,8,"100%",2,7
"10/21/17","SAC","W 96-79",30,0,9,7,1,0,3,4,0,3,"0%",0,1,"0%",0,0,"0%",0,9
"10/18/17","UTA","L 96-106",35,7,12,8,0,0,4,1,3,10,"30%",1,4,"25%",0,0,"0%",0,12
"4/12/17","OKC","W 111-105",40,29,16,8,1,5,4,4,9,14,"64.3%",0,0,"0%",11,14,"78.6%",2,14
"4/11/17","DAL","W 109-91",19,7,8,4,0,0,1,2,3,6,"50%",1,3,"33.3%",0,0,"0%",1,7
"4/9/17","OKC","L 105-106",31,23,6,3,1,1,3,5,8,16,"50%",1,5,"20%",6,6,"100%",1,5
"4/7/17","NO","W 122-106",29,23,12,5,2,0,7,1,9,13,"69.2%",2,2,"100%",3,4,"75%",3,9
"4/5/17","HOU","L 104-110",33,12,19,9,5,1,2,3,6,17,"35.3%",0,5,"0%",0,0,"0%",3,16
"4/4/17","NO","W 134-131",33,21,12,4,0,0,1,2,10,18,"55.6%",0,2,"0%",1,2,"50%",4,8
"4/2/17","MIA","W 116-113",35,19,10,7,2,0,1,2,9,16,"56.2%",0,2,"0%",1,1,"100%",1,9
"3/31/17","CHA","L 114-122",36,26,13,10,0,0,2,4,11,16,"68.8%",2,3,"66.7%",2,3,"66.7%",3,10
"3/28/17","POR","L 113-122",35,17,8,8,0,2,3,4,7,14,"50%",1,6,"16.7%",2,2,"100%",3,5
"3/26/17","NO","L 90-115",18,8,13,2,0,0,0,3,4,14,"28.6%",0,3,"0%",0,0,"0%",3,10
"3/24/17","IND","W 125-117",34,30,17,5,1,0,4,2,12,18,"66.7%",1,2,"50%",5,5,"100%",4,13
"3/22/17","CLE","W 126-113",28,16,10,7,0,0,3,2,8,10,"80%",0,0,"0%",0,0,"0%",2,8
"3/20/17","HOU","L 124-125",39,22,13,8,0,1,5,3,7,14,"50%",0,3,"0%",8,8,"100%",1,12
"3/18/17","HOU","L 105-109",21,16,5,4,0,1,3,5,7,14,"50%",1,2,"50%",1,1,"100%",2,3
"3/16/17","LAC","W 129-114",30,17,14,11,0,0,2,2,7,12,"58.3%",0,1,"0%",3,3,"100%",3,11
"3/13/17","LAL","W 129-101",24,18,9,4,1,0,1,2,8,13,"61.5%",0,3,"0%",2,2,"100%",1,8
"3/11/17","SAC","W 105-92",30,20,14,2,2,0,2,1,7,12,"58.3%",1,3,"33.3%",5,5,"100%",3,11
"3/10/17","BOS","W 119-99",26,21,10,7,4,1,7,4,8,10,"80%",1,2,"50%",4,6,"66.7%",3,7
"3/4/17","CHA","L 102-112",32,31,14,4,1,0,4,1,13,15,"86.7%",0,0,"0%",5,8,"62.5%",3,11
"3/1/17","MIL","W 110-98",29,13,14,10,1,1,3,1,6,10,"60%",0,0,"0%",1,2,"50%",4,10
"2/28/17","CHI","W 125-107",32,19,16,10,0,1,3,1,6,10,"60%",3,3,"100%",4,4,"100%",2,14
"2/26/17","MEM","L 98-105",33,10,11,6,1,1,2,3,5,11,"45.5%",0,2,"0%",0,0,"0%",2,9
"2/24/17","BKN","W 129-109",14,2,5,7,1,1,4,4,1,1,"100%",0,0,"0%",0,0,"0%",3,2
"2/23/17","SAC","L 100-116",25,4,10,2,0,0,1,3,2,7,"28.6%",0,2,"0%",0,0,"0%",2,8
"2/15/17","MIN","L 99-112",33,15,14,4,1,4,2,5,6,19,"31.6%",2,5,"40%",1,2,"50%",4,10
"2/13/17","GS","W 132-110",36,17,21,12,2,0,5,3,7,13,"53.8%",0,0,"0%",3,4,"75%",6,15
"2/11/17","CLE","L 109-125",37,27,13,4,0,2,5,2,9,18,"50%",1,2,"50%",8,10,"80%",6,7
